n=200,n=400,n=1000
1.25,-0.8062499999999971,1.25
1.25,1.25,1.25
-2.3307617187499985,1.25,1.25
-0.8906250000000009,1.25,1.25
-0.6501953124999971,-0.9245117187499973,-0.7763671874999971
1.25,1.25,1.25
1.25,1.25,1.25
-0.7456054687499971,1.25,-0.8880000000000008
-2.418066406249998,1.25,1.25
-1.4452148437499979,1.25,1.25
-1.2945312499999975,1.25,-0.8542968749999972
1.25,-0.7681640624999972,1.25
1.25,1.25,1.25
-0.3998750000000003,-0.9960937499999973,-1.018375000000001
-2.147167968749999,1.25,1.25
1.25,1.25,-1.1310546874999974
-0.7170898437499971,-0.6023125000000006,1.25
1.25,1.25,1.25
-1.1211914062499972,1.25,1.25
-1.7045898437499982,1.25,-1.2457031249999977
1.25,-1.023125000000001,-0.8910625000000009
1.25,1.25,-1.3622070312499974
1.25,-1.3996093749999976,1.25
-1.1795898437499979,-0.8675000000000008,1.25
-1.103062500000001,-0.8706054687499972,1.25
1.25,-2.1731445312499984,1.25
-0.5639648437499969,-0.8998046874999972,-1.1147500000000008
1.25,-1.5692382812499979,1.25
1.25,1.25,1.25
1.25,1.25,1.25
